primary_question,answer
DT供方申请账号时提示手机号占用处理方法,"一个用户原则上只允许有一个账号，提示手机号占用说明这个手机号已经注册过账号，如果需要新的账号功能请不要新开账号，而是在账号自助门户上选择： 【外部账号变更申请】-【账号系统变更】，或账号持有者自行在【账号自助门户】-【我的安全中心中】修改；
网址为：https://idm.longfor.com/#/dashboard。"
出差申请单的修改或删除,"解决方案：
打开手机端云图梭【应用-我湖生涯-差旅-历史申请】
① 如出差申请状态为【草稿】：点击草稿可直接修改，或左滑删除。
② 如出差申请状态为【审批中】：此时无法修改，但可以撤回，操作方法，点击申请单进入详情，点击【终止】，返回列表后，左滑删除。
③ 如出差申请状态为【已审批】：此时无法修改或撤回，需重新提交出差申请（原来已审批的申请可忽略）。"
出差申请怎么查询,出差申请单号查询路径：手机云图梭-应用-差旅-历史申请中查询
如何补提出差单,"补提出差申请和提交出差申请路径一致，填写相关信息后提交出差申请。
方法一：手机云图梭-应用-差旅-出差申请；
提醒：可补提6个月以内的出差申请。"
如何提出差申请,提出差申请路径为：【手机云图梭】-【应用】-【差旅】-【出差申请】，填写相关信息后提交。
出差申请最多可填写多少个行程？,一个出差申请单可以填写多个行程，最多可以填写5个出差行程。
未入职同事如何出差？,入职同事出差时可以先垫付出差费用，保存好发票，入职手续办好后，可补提出差申请和提交差旅报销
出差申请添加审批人,"新发起的出差申请，出差信息填写完成后点击下一步，点击审批一中的+号增加审批人。
已发起的出差申请，在差旅 -历史行程 选择审批中状态的出差申请，点击撤回，然后添加审批人，在发起出差申请，也可以在审批待办中添加审批人。
已审批完成的出差单不能在添加审批人。"
差旅无权限,原因有以下两种：①新入职龙湖的正式员工，在入职流程完成后，次日即可正常使用；若需要紧急出差，可以先自费后补提出差单发起报销；②非龙湖正式员工无法使用差旅系统，可联系行政同事帮忙代提流程，路径：【手机云图梭】-【应用】-【差旅】-【实习生/外宾】；如下图所示：&nbsp;
出差申请怎么删除怎么撤回,路径：手机云图梭-应用-差旅-历史申请&nbsp;草稿状态出差单：左滑删除草稿出差单&nbsp;撤回或驳回状态出差单：点出差单进入详情，点击终止，返回列表左滑删除&nbsp;ps：已审批状态的出差单无法删除和修改，忽略即可，不会影响再次发起流程
差旅应用位置,"PC端无法提交出差申请，出差请到：
手机云图梭-应用-差旅-出差申请发起出差申请"
撤回删除出差申请,"【未审批结束】的单据可以直接在【云图梭-差旅】的单据审批界面撤回
【已经审批完成】的单据【不可以撤回或删除】，直接发起新的即可"
滴滴在出差地不能使用,如出差地为县级市，滴滴目前不支持县级市下的地区使用滴滴企业版，可以先自费，再报销
滴滴找不到审批完的出差单据,"可先看是否为【同一城市】
集团行政规定：【同城不支持打车】可以先垫付，走报销"
出发地无法使用滴滴或大唐打车,出发地【不允许】市内用车，可以使用接送机
探亲机票预订流程,"探亲申请路径：
【手机云图梭-应用-我湖生涯-差旅-探亲】-填写对应信息后提交。
审批通过后可在【大唐】或【携程】预订机票，【大唐】可预定火车票"
差旅app中申请探亲机票提示您没有相关权限,原因：因为差旅系统中没有异地福利数据。解决方法：需要联系地区HRBP在HR-&pi;维护异地福利信息，第二天同步差旅系统，同步后即可申请探亲机票
